,BreedName,Count,Share
188,Australian Silky Terrier,182,0.03
189,Akita Crossbreed,181,0.03
190,Goldendoodle Miniature,177,0.02
191,"Mastiff, Bull",174,0.02
192,Dogo Argentino,173,0.02
193,Schipperke,170,0.02
194,"Collie, Smooth Coat",169,0.02
195,Russell Terrier,166,0.02
196,"Mastiff, Old English",162,0.02
197,Australian Terrier,162,0.02
198,"Coonhound, Blue Tick",161,0.02
199,Saint Bernard,159,0.02
200,American English Coonhound,159,0.02
201,English Setter,151,0.02
202,Schipperkee,151,0.02
203,Norwegian Elkhound,143,0.02
204,Bedlington Terrier,141,0.02
205,Bullmastiff,141,0.02
206,Biewer Terrier,138,0.02
207,Wirehaired Pointing Griffon,137,0.02
208,St. Bernard,135,0.02
209,Brittany,135,0.02
210,Bloodhound Crossbreed,129,0.02
211,Pharaoh Hound,127,0.02
212,Welsh Springer Spaniel,124,0.02
213,Afghan Hound,122,0.02
214,"Schnauzer, Giant",121,0.02
215,Bloodhound,121,0.02
216,Chesapeake Bay Retriever,121,0.02
217,Petit Basset Griffon Vendeen,120,0.02
218,Xoloitzcuintli,114,0.02
219,German Pinscher,114,0.02
220,Bearded Collie,113,0.02
221,Giant Schnauzer,111,0.02
222,Bouvier Des Flandres,109,0.02
223,Spinone Italiano,109,0.02
224,Irish Wolfhound,103,0.01
225,Smooth Fox Terrier,101,0.01
226,Borzoi,98,0.01
227,"Coonhound, Redbone",95,0.01
228,Miniature Bull Terrier,93,0.01
229,"Collie, Bearded",93,0.01
230,Brussels Griffon Crossbreed,93,0.01
231,Olde English Bulldogge,91,0.01
232,Portuguese Podengo Pequeno,90,0.01
233,Kerry Blue Terrier,86,0.01
234,Lakeland Terrier,86,0.01
235,Treeing Tennessee Brindle,85,0.01
236,German Spitz,85,0.01
237,Belgian Sheepdog,84,0.01
238,English Foxhound,83,0.01
239,Boykin Spaniel,82,0.01
240,Puli,81,0.01
241,Dalmatian Mix,78,0.01
242,"Pointer, German Wirehaired",76,0.01
243,American Bull Dog Crossbreed,76,0.01
244,Dogue de Bordeaux,75,0.01
245,Ibizan Hound,73,0.01
246,Finnish Spitz,72,0.01
247,Boerboel,70,0.01
248,Clumber Spaniel,68,0.01
249,Mountain Feist,67,0.01
250,Glen of Imaal Terrier,66,0.01
251,Pharoh hound,66,0.01
252,Briard,65,0.01
253,Mixed,65,0.01
254,Saluki,65,0.01
255,Field Spaniel,63,0.01
256,Thai Ridgeback,62,0.01
257,Bolognese,61,0.01
258,Standard Schnauzer,58,0.01
259,German Wirehaired Pointer,58,0.01
260,Harrier,58,0.01
261,Spanish Water Dog,56,0.01
262,Patterdale Terrier,55,0.01
263,"Mastiff, French (Dogue de Bordeaux)",53,0.01
264,Greater Swiss Mountain Dog,53,0.01
265,Corgi Crossbreed,52,0.01
266,MIXED,52,0.01
267,Beauceron,47,0.01
268,Black Russian Terrier,46,0.01
269,Berger Picard,46,0.01
270,Belgian Tervuren,45,0.01
271,Belgian Malinois Crossbreed,45,0.01
272,Sealyham Terrier,44,0.01
273,Lowchen,43,0.01
274,Skye Terrier,43,0.01
275,Carolina Dog,42,0.01
276,Entlebucher Mountain Dog,42,0.01
277,English Toy Spaniel,41,0.01
278,Polish Lowland Sheepdog,38,0.01
279,Kooikerhondje,37,0.01
280,Russian Toy,37,0.01
281,Gordon Setter,36,0.0
282,Leonberger,36,0.0
283,Terrier Mix,36,0.0
284,Kuvasz,35,0.0
285,Perro de Presa Canario,34,0.0
286,"Mastiff, Neapolitan",34,0.0
287,Sussex Spaniel,33,0.0
288,German Longhaired Pointer,32,0.0
289,Afghan Hound Crossbreed,30,0.0
290,English Setter Crossbreed,30,0.0
291,Barbet,29,0.0
292,Basenji Crossbreed,29,0.0
293,Dandie Dinmont Terrier,28,0.0
294,Mixed Breed,28,0.0
295,Belgian Griffon,28,0.0
296,Tibetan Mastiff,28,0.0
297,American Hairless Terrier,27,0.0
298,French Spaniel,27,0.0
299,American Leopard Hound,26,0.0
300,Curly-Coated Retriever,26,0.0
301,"Mastiff, Tibetan",25,0.0
302,Swedish Vallhund,24,0.0
303,Neapolitan Mastiff,24,0.0
304,Eurasier,24,0.0
305,Lhasa Apso Crossbreed,24,0.0
306,Polish Hound,23,0.0
307,MORKIE,23,0.0
308,Chinook,23,0.0
309,Miniature Fox Terrier,22,0.0
310,American Water Spaniel,22,0.0
311,Baladi,21,0.0
312,PIT BULL,21,0.0
313,Icelandic Sheepdog,20,0.0
314,Kai Ken,20,0.0
315,DACHSHUND,19,0.0
316,American Eskimo Dog Crossbreed,19,0.0
317,Cirneco dell,19,0.0
318,Pyrenean Shepherd,19,0.0
319,Irish Red and White Setter,19,0.0
320,Pumi,19,0.0
321,Peruvian Inca Orchid,18,0.0
322,Norwegian Buhund,17,0.0
323,Hound Mix,16,0.0
324,Greyhound Crossbreed,16,0.0
325,COCKAPOO,16,0.0
326,Chihuahua Mix,15,0.0
327,Lancashire Heeler,15,0.0
328,Cock-A-Poo,15,0.0
329,Wirehaired Vizsla,15,0.0
330,Hovawart,15,0.0
331,TERRIER MIX,14,0.0
332,Bracco Italiano,14,0.0
333,Catahoula Leopard Dog Crossbreed,14,0.0
334,Yorkie Poo,13,0.0
335,Pit Bull,13,0.0
336,Greek Shephard,13,0.0
337,Border Terrier Crossbreed,13,0.0
338,Mastiff Crossbreed,13,0.0
339,Finnish Lapphund,12,0.0
340,Shih-Poo,12,0.0
341,Small Munsterlander Pointer,12,0.0
342,Malti-Poo,12,0.0
343,Terrier,12,0.0
344,Weimaraner Crossbreed,11,0.0
345,Mudi,11,0.0
346,Fila Brasileiro,11,0.0
347,Alaskan Malamute Crossbreed,11,0.0
348,Scottish Deerhound,11,0.0
349,Poodle Mix,10,0.0
350,Pit Bull Mix,10,0.0
351,Formosan Mountain,9,0.0
352,SHEPHERD MIX,9,0.0
353,UNKNOWN,9,0.0
354,Shih Tzu Mix,8,0.0
355,POODLE,8,0.0
356,PIT BULL MIX,8,0.0
357,Cesky Terrier,8,0.0
358,CHIHUAHUA MIX,8,0.0
359,Belgian Laekenois,8,0.0
360,GOLDEN DOODLE,8,0.0
361,Hound,7,0.0
362,RAT TERRIER,7,0.0
363,Golden Doodle,7,0.0
364,SHIH-POO,7,0.0
365,HOUND MIX,7,0.0
366,SHIH TZU MIX,7,0.0
367,Dachshund Mix,7,0.0
368,POODLE MIX,7,0.0
369,Kromfohrlander,7,0.0
370,Cattle Dog Mix,6,0.0
371,terrier mix,6,0.0
372,Yorkie,6,0.0
373,Pointer Mix,6,0.0
374,Karelian Bear Dog,6,0.0
375,Yorkie-Poo,6,0.0
376,Chihuahua  Mix,6,0.0
377,Jack Russell Terrier Mix,6,0.0
378,Schnoodle,6,0.0
379,Jagdterrier,6,0.0
380,MINI PINSCHER,6,0.0
381,French Poodle,6,0.0
382,CAVACHON,5,0.0
383,Estrela Mountain Dog,5,0.0
384,cockapoo,5,0.0
385,Grand Basset Griffon Vendeen,5,0.0
386,COCK-A-POO,5,0.0
387,Azawakh,5,0.0
388,Mini Dachshund,5,0.0
389,MINI DACHSHUND,5,0.0
390,PIT BULL X,5,0.0
391,Shorkie,5,0.0
392,Dalmatian Crossbreed,5,0.0
393,Otterhound,5,0.0
394,Yorkie Mix,5,0.0
395,Bichon/Poodle,5,0.0
396,TERRIER X,5,0.0
397,MUTT,5,0.0
398,Maltese Mix,5,0.0
399,COLLIE,4,0.0
400,unknown,4,0.0
401,YORKIE POO,4,0.0
402,poodle,4,0.0
403,Maltese/Poodle,4,0.0
404,SHORKIE,4,0.0
405,Shepherd Mix,4,0.0
406,GOLDENDOODLE,4,0.0
407,Tosa,4,0.0
408,Golden Retriever Mix,4,0.0
409,LAB MIX,4,0.0
410,pit bull,4,0.0
411,Border Collie Mix,4,0.0
412,COCKER POO,4,0.0
413,Kishu Ken,4,0.0
414,Portuguese Sheepdog,4,0.0
415,GERMAN SHEPHERD MIX,4,0.0
416,SHIHPOO,4,0.0
417,MALTIPOO,4,0.0
418,MALTESE/POODLE,4,0.0
419,morkie,4,0.0
420,SCHNOODLE,4,0.0
421,GoldenDoodle,4,0.0
422,Teddy Bear,4,0.0
423,HOUND X,3,0.0
424,SHIH POO,3,0.0
425,mixed breed,3,0.0
426,Spaniel Mix,3,0.0
427,Terrier  Mixed,3,0.0
428,TERRIER  X,3,0.0
429,MALTI-POO,3,0.0
430,POINTER MIX,3,0.0
431,BOXER MIX,3,0.0
432,LABRADOR RETRIEVER MIX,3,0.0
433,Shih Tzu/Poodle,3,0.0
434,chihuahua mix,3,0.0
435,CHIHUAHUA X,3,0.0
436,MALTI POO,3,0.0
437,Catahoula,3,0.0
438,pit mix,3,0.0
439,Westie,3,0.0
440,COCK A POO,3,0.0
441,mix,3,0.0
442,COLLIE MIX,3,0.0
443,Toy Aussie,3,0.0
444,Australian Labradoodle,3,0.0
445,Maltese/Shih Tzu,3,0.0
446,LAB RETRIEVER MIX,3,0.0
447,Stabyhoun,3,0.0
448,Pitbull,3,0.0
449,Mi-Ki,3,0.0
450,Toy Australian Shepherd,3,0.0
451,Schnauzer Mix,3,0.0
452,Pug Mix,3,0.0
453,mixed,3,0.0
454,Cavapoo,3,0.0
455,Malti Poo,3,0.0
456,Maltese/Terrier,3,0.0
457,yorkiepoo,3,0.0
458,MALTEPOO,3,0.0
459,CAVAPOO,3,0.0
460,Russian Wolfhound,3,0.0
461,Hound mix,3,0.0
462,Airedale Terrier Crossbreed,3,0.0
463,Terrier X,3,0.0
464,ZUCHON,3,0.0
465,MINI GOLDEN DOODLE,3,0.0
466,Irish Water Spaniel,3,0.0
467,terrier,3,0.0
468,BORDER COLLIE MIX,3,0.0
469,Cavachon,3,0.0
470,Hamiltonstovare,3,0.0
471,Presa Canario,3,0.0
472,PEKAPOO,2,0.0
473,PIT BULL  MIX,2,0.0
474,BORDER TERRIER,2,0.0
475,DACHSHUND MIX,2,0.0
476,BICHON-POO,2,0.0
477,pitbull,2,0.0
478,Shih Tzu - Brussels Griffon,2,0.0
479,SHIH TZU X,2,0.0
480,Shihtese,2,0.0
481,COCKA-POO,2,0.0
482,Yorkie/Poodle,2,0.0
483,Malkie,2,0.0
484,Maltese / mix,2,0.0
485,SCHNAUZER,2,0.0
486,Shepard Mix,2,0.0
487,Pompoo,2,0.0
488,JACK RUSSELL  CROSS,2,0.0
489,Teacup Yorkshire Terrier,2,0.0
490,COCKER SPANIEL MIX,2,0.0
491,Pyrenean Mastiff,2,0.0
492,Affenpinscher Crossbreed,2,0.0
493,TOY FOX TERRIER,2,0.0
494,maltipoo,2,0.0
495,RAT TERR MIX,2,0.0
496,RAT TERRIER MIX,2,0.0
497,Husky/Labrador Retriever,2,0.0
498,ENG SPRINGER SPANIEL,2,0.0
499,shepherd mix,2,0.0
500,Rottweiler Mix,2,0.0
501,Shih-Poo Mix,2,0.0
502,Long Haired Chihuahua,2,0.0
503,Chihuahua / Mixed,2,0.0
504,W HIGH WT TERR,2,0.0
505,Peek-A-Poo,2,0.0
506,Mixed Terrier,2,0.0
507,Fox Hound Mix,2,0.0
508,Fox Terrier Mix,2,0.0
509,Bichon/Poodle Mix,2,0.0
510,SPANIEL MIX,2,0.0
511,MaltiPoo,2,0.0
512,Fox Terrier,2,0.0
513,FRENCH POODLE,2,0.0
514,YORKIE,2,0.0
515,HAVADOODLE,2,0.0
516,chih mix,2,0.0
517,Lhasa Apso Mix,2,0.0
518,ENGLISH SPRINGER SPANIEL,2,0.0
519,Rat Terrier Mix,2,0.0
520,Yorkie/Maltese,2,0.0
521,Terrier Mixed,2,0.0
522,terr mix,2,0.0
523,Pomeranian Mix,2,0.0
524,Yorkie/ Maltese,2,0.0
525,shep/doxie,2,0.0
526,Shih Poo,2,0.0
527,BOSTON TERR MIX,2,0.0
528,Pit/Lab,2,0.0
529,cavapoo,2,0.0
530,Other,2,0.0
531,POODLE/SHIH TZU,2,0.0
532,MIX,2,0.0
533,POINTER X,2,0.0
534,schnoodle,2,0.0
535,Toy Manchester Terrier,2,0.0
536,POMERANIAN MIX,2,0.0
537,CHIHUAHUA TERRIER MIX,2,0.0
538,Blue Heeler,2,0.0
539,Shih Tzu  Mix,2,0.0
540,Pekingese Mix,2,0.0
541,HAVANESE MIX,2,0.0
542,cock-a-poo,2,0.0
543,Cockalier,2,0.0
544,Hound Terrier Mix,2,0.0
545,Havapoo,2,0.0
546,American Bull Dog,2,0.0
547,lab mix,2,0.0
548,spaniel mix,2,0.0
549,Plott Hound Mix,2,0.0
550,Chihuahua X,2,0.0
551,dachshund,2,0.0
552,LHASA POO,2,0.0
553,Lab Mix,2,0.0
554,hound mix,2,0.0
555,Chihuahua/Shih Tzu,2,0.0
556,CATTLE DOG MIX,2,0.0
557,Breed Information Not Provided.,2,0.0
558,Papillon Crossbreed,2,0.0
559,JACK RUSS MIX,2,0.0
560,Westy/Yorkie/Chihuahua,2,0.0
561,CAV KING C.SPAN,2,0.0
562,shepard mix,2,0.0
563,Yellow Labrador,2,0.0
564,Beagle/Hound Mix,2,0.0
565,Labrador- Mixed,2,0.0
566,YORKI-POO,2,0.0
567,PAPILLION X,2,0.0
568,Bichon-Poodle,2,0.0
569,Shih Tuz/Poodle,2,0.0
570,TOY POODLE,2,0.0
571,Doxie,2,0.0
572,Yorkie/Shih Tzu,2,0.0
573,YORKIE-POO,2,0.0
574,PUG MIX,2,0.0
575,COTON DE TULEAR,2,0.0
576,rat terrier,2,0.0
577,PIT MIX,2,0.0
578,BL NS PIT BULL,2,0.0
579,Chorkie,2,0.0
580,Terrier mixed,2,0.0
581,pit bull mix,2,0.0
582,Labrador Retrieve Mix,2,0.0
583,HUSKY MIX,2,0.0
584,TEDDY BEAR,2,0.0
585,canine,2,0.0
586,YORKIE/SHIH TZU,2,0.0
587,Zuchon,2,0.0
588,Tornjak,2,0.0
589,SHIBA INU,1,0.0
590,Rottweiler/Labrador Retriever,1,0.0
591,Shepherd Mis,1,0.0
592,SCHNAUZER-POODLE,1,0.0
593,CHIHUAHUA/YORKIE MIX,1,0.0
594,Small Fox Terrier,1,0.0
595,Yorkie/Toy Poodle Mix,1,0.0
596,cokaspinial poodle,1,0.0
597,YORKIE/MALTESE MIX,1,0.0
598,HAVACHON,1,0.0
599,Poemranan Mix,1,0.0
600,Pomtese,1,0.0
601,Pug/Chihuahua,1,0.0
602,DOXIE CHIHUAHUA,1,0.0
603,Staffordshire Ibizian Hound,1,0.0
604,SHIH TZU/MALTESE,1,0.0
605,DOGO ARGENTINO,1,0.0
606,BOXER/PITT,1,0.0
607,Lhasa Apso Miix,1,0.0
608,collie,1,0.0
609,YORKSHIRE/POODL,1,0.0
610,PINSCHER-CHIH,1,0.0
611,mix corgi/lab. retriever,1,0.0
612,Rat Terrier/Poodle Mix,1,0.0
613,beagle/mix,1,0.0
614,Shepherd/Golden Retreiver,1,0.0
615,GOLDEN RETRIEVER MIX,1,0.0
616,Beagle/Terrier Mix,1,0.0
617,Terrier/Beagle,1,0.0
618,ENGLISH BULL TERRIER,1,0.0
619,Australian Shepherd Mix,1,0.0
620,Mini Bull Terrier,1,0.0
621,Mastiff/Shepherd,1,0.0
622,AMER PIT BULL TERR MIX,1,0.0
623,austrian hunting,1,0.0
624,SHIH TZU/YORKIE,1,0.0
625,AM PIT BULL MIX,1,0.0
626,SHIH/MALTESE,1,0.0
627,mutt from shelter.  looks like border collie,1,0.0
628,AMERICAN PIT BULL,1,0.0
629,PEK-A-TESE,1,0.0
630,Shorky,1,0.0
631,Podengo Pequeno,1,0.0
632,KING CH BICHON,1,0.0
633,CHIHUAHUA/DACHS,1,0.0
634,PETERSBURG ORCHID,1,0.0
635,Carolina mix,1,0.0
636,boston terrier/french bulldog,1,0.0
637,SHEEP DOG,1,0.0
638,Border Collie Ausie Shep X,1,0.0
639,Hound Mixed,1,0.0
640,Mini Pinscher/ Chihuahua Mix,1,0.0
641,Chocolate Labrador/Border Collie Mix,1,0.0
642,Ridgeback/Rottweiler,1,0.0
643,COCA-POO,1,0.0
644,Harrier Mix,1,0.0
645,WHEATON TERRIER/KING CHARLES CHU MIX,1,0.0
646,BEA/ GOLD/ RET MIX,1,0.0
647,chi-Yorkie,1,0.0
648,BEAGLE-JACK RUSSELL,1,0.0
649,MINI PIN MIX,1,0.0
650,GERMAN SHORTHAIRED POINTER,1,0.0
651,WELSH CORGI   X,1,0.0
652,Crossbreed,1,0.0
653,BIUCHON/POODLE MIX,1,0.0
654,Pomerian Mix,1,0.0
655,chiweenie,1,0.0
656,X golden wolf hound,1,0.0
657,PITBULL-BULLDOG,1,0.0
658,sharpei-beagle,1,0.0
659,Maltpoo,1,0.0
660,Red nose pit bull terrier,1,0.0
661,SCHNAUZER/TERR  X,1,0.0
662,Poodle/Pompoo,1,0.0
663,Black Lab mix,1,0.0
664,hound beagle,1,0.0
665,Shih Tzu/Bichon,1,0.0
666,HOUND TERRIER MIX,1,0.0
667,Fox Hound,1,0.0
668,Chih Mix,1,0.0
669,Blue Nose Pitbull,1,0.0
670,PITBULL MIXED RED/BLUE NOSE,1,0.0
671,Mini Aust.Shepherd,1,0.0
672,Bichon Frise Mix,1,0.0
673,Rat terrier mix,1,0.0
674,Corgi Mix,1,0.0
675,LAB/SHEPHERD MIX,1,0.0
676,Shih Tsu/Poodle,1,0.0
677,SHIH TZU,1,0.0
678,Collie /Springer Terrier Mix,1,0.0
679,HUSKY GOLDEN RETRIEVER MIX,1,0.0
680,Schnauzer/Poodle Mix,1,0.0
681,Lab Golden Mix,1,0.0
682,patterdale mix terrier,1,0.0
683,Maltese/Terrier/Poodle Mix,1,0.0
684,Labrador/ Shih Tzu,1,0.0
685,American Staffordshire Terrier X,1,0.0
686,CHOW CHOW MIX,1,0.0
687,Maltese/Shih Tzu/Pomeranian,1,0.0
688,Poodle/Yorkie,1,0.0
689,Nova Scotia Toller,1,0.0
690,CHINESE CRESTED,1,0.0
691,SHIBA INU/GERM SHEPHERD,1,0.0
692,Bernedoodle,1,0.0
693,Labrador / Pit Bull Mix,1,0.0
694,Beagle/Rat Terrier,1,0.0
695,pit,1,0.0
696,ALASKAN KLEE KAI,1,0.0
697,Pit Bull/Lab.,1,0.0
698,REd Pit Mix,1,0.0
699,ROYAL BAH POTCA,1,0.0
700,Terr Mix,1,0.0
701,Collie / Lab,1,0.0
702,Poodle/ShihTzu,1,0.0
703,Maltes/Shih Tzu,1,0.0
704,Maltepoo,1,0.0
705,LG HR CHIHUAHUA,1,0.0
706,Manchester Shepherd Mix,1,0.0
707,Blue Heeler / Schnauser,1,0.0
708,Shepherd/Hound,1,0.0
709,Chow Chow Mix,1,0.0
710,pitbull mix,1,0.0
711,CavaChon,1,0.0
712,LAB GOLD RET CROSS,1,0.0
713,SHIH TZU POODLE MIX,1,0.0
714,BOSTON BULLDOG,1,0.0
715,poodle/terrier,1,0.0
716,Italian/Sicilian hound,1,0.0
717,JACK RUS CHIHUA,1,0.0
718,WELSH TERRIER,1,0.0
719,CHOW MIX,1,0.0
720,Shih Tzu / Maltese Mix,1,0.0
721,Labradoodle Mini,1,0.0
722,Chihuahua/Maltese/Yorkshire Mix,1,0.0
723,Papillion Mix,1,0.0
724,Beagle/Chihuahua,1,0.0
725,Potcake,1,0.0
726,airedale terrier,1,0.0
727,English Pointer,1,0.0
728,Wheaton Mix,1,0.0
729,Retriever/Chow,1,0.0
730,DOXIE,1,0.0
731,miniature poodle / cocker spaniel,1,0.0
732,labrador retriever hound mix,1,0.0
733,Pekingese/Poodle,1,0.0
734,Terrier  X,1,0.0
735,PUG/CHIHUAHUA,1,0.0
736,PIT BULL TERR MIX,1,0.0
737,coonhound mix,1,0.0
738,Aust Heller Mix,1,0.0
739,PEAKAPOO,1,0.0
740,CHI/DOXEN,1,0.0
741,beagle mix,1,0.0
742,dach mix,1,0.0
743,Labrador - Pit Bull Mix,1,0.0
744,YORKIE/CHIHUAHUA,1,0.0
745,Mini Pinscher/Chihuahua Mix,1,0.0
746,BOST TERR/LHASA,1,0.0
747,engish pointer,1,0.0
748,Jack Russell Terr Mix,1,0.0
749,Basenji/whippet,1,0.0
750,Husky Malamute,1,0.0
751,HEELER/COLLIE MIX,1,0.0
752,hunting dog/rescue,1,0.0
753,Whippet-Labrador Mix,1,0.0
754,Shep Mix,1,0.0
755,Parsons Russell Terrier mix,1,0.0
756,Yorki-tzu,1,0.0
757,Chow/Collie/Shepherd Mix,1,0.0
758,AM ESKIMO / MALTESE,1,0.0
759,Yorkshire Terrier Toy,1,0.0
760,Yorky,1,0.0
761,lab Terr mix,1,0.0
762,Soft-Coat Weaton Terrier,1,0.0
763,Pit Bull Mastiff,1,0.0
764,MALTAPOO,1,0.0
765,YORKIE POODLE,1,0.0
